gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,mois,annee,X,Y,no2,pm10,s02,ozone
5,RHONE,Lyon,GERLAND,FR20017,urban,Fond,7,2018,4.829800054,45.73532325,20.5,20.3,,77.8
26,RHONE,Lyon,GERLAND,FR20017,urban,Fond,8,2018,4.829800054,45.73532325,23.1,16.2,,69.2
6,RHONE,Lyon,GERLAND,FR20017,urban,Fond,9,2018,4.829800054,45.73532325,40.7,18.7,,50.4
36,RHONE,Lyon,GERLAND,FR20017,urban,Fond,10,2018,4.829800054,45.73532325,35.9,21.7,,34.7
88,RHONE,Lyon,GERLAND,FR20017,urban,Fond,11,2018,4.829800054,45.73532325,37.1,19.1,,28.9
9,RHONE,Lyon,GERLAND,FR20017,urban,Fond,12,2018,4.829800054,45.73532325,42.6,20.2,,23.1
9,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,12,2017,4.802195719,45.60192128,21.2,16,,33.6
8,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,1,2018,4.802195719,45.60192128,23,14.4,,36.4
9,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,2,2018,4.802195719,45.60192128,24.3,24.8,,43.1
9,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,3,2018,4.802195719,45.60192128,20.8,15.8,,54.7
7,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,4,2018,4.802195719,45.60192128,15.6,17.3,,70.7
9,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,5,2018,4.802195719,45.60192128,12.3,17.5,,65.2
7,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,6,2018,4.802195719,45.60192128,12.1,15.9,,69.7
6,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,7,2018,4.802195719,45.60192128,16.2,19.2,,87.1
27,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,8,2018,4.802195719,45.60192128,12.7,17.1,,79.8
7,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,9,2018,4.802195719,45.60192128,21.8,19.8,,62.6
7,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,10,2018,4.802195719,45.60192128,21,23.1,,42.9
6,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,11,2018,4.802195719,45.60192128,23.5,25.1,,24.9
10,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,12,2018,4.802195719,45.60192128,24,24.6,,27.6
10,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,12,2017,4.924700509,45.77887089,22.2,15.1,,27.8
9,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,1,2018,4.924700509,45.77887089,24,13.8,,28.4
56,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,2,2018,4.924700509,45.77887089,19.5,25,,34.3
10,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,3,2018,4.924700509,45.77887089,21.5,14.3,,50
8,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,4,2018,4.924700509,45.77887089,21.3,15.8,,73.6
10,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,5,2018,4.924700509,45.77887089,18.4,15.2,,74.2
8,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,6,2018,4.924700509,45.77887089,10.1,12.1,,68.3
7,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,7,2018,4.924700509,45.77887089,12.9,13.96666667,,84.1
5,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,8,2018,4.924700509,45.77887089,8.1,15.83333333,,76.5
8,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,9,2018,4.924700509,45.77887089,20.8,17.7,,55.5
39,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,10,2018,4.924700509,45.77887089,14.5,20.5,,38.3
7,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,11,2018,4.924700509,45.77887089,17.7,18.3,,22.4
11,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,12,2018,4.924700509,45.77887089,25.8,19,,20.2
11,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,12,2017,4.953959787,45.82322611,14.9,15,,34
10,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,1,2018,4.953959787,45.82322611,9.9,12.8,,34.3
10,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,2,2018,4.953959787,45.82322611,17.7,22.9,,42.5
11,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,3,2018,4.953959787,45.82322611,25.8,10.5,,57.4
9,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,4,2018,4.953959787,45.82322611,14.9,14.6,,75.2
11,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,5,2018,4.953959787,45.82322611,9.9,13.2,,73.8
61,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,6,2018,4.953959787,45.82322611,9.4,9.8,,86.35
8,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,7,2018,4.953959787,45.82322611,10.1,13.2,,98.9
28,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,8,2018,4.953959787,45.82322611,5,10.5,,86.7
9,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,9,2018,4.953959787,45.82322611,7.6,14.2,,67.4
10,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,10,2018,4.953959787,45.82322611,7.7,16.5,,43.3
8,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,11,2018,4.953959787,45.82322611,10.5,15.3,,24
12,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,12,2018,4.953959787,45.82322611,11.3,16.4,,22.1
12,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,12,2017,5.070377771,45.75485265,16.9,13.1,,38.5
11,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,1,2018,5.070377771,45.75485265,15.5,11.6,,39
11,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,2,2018,5.070377771,45.75485265,17.2,21.3,,35.8
80,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,3,2018,5.070377771,45.75485265,16.7,13.6,,61.65
10,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,4,2018,5.070377771,45.75485265,9.6,14.7,,87.5
12,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,5,2018,5.070377771,45.75485265,7.5,13.4,,79.7
75,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,6,2018,5.070377771,45.75485265,7.3,12.7,,89.8
76,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,7,2018,5.070377771,45.75485265,9.1,16.5,,87.5
6,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,8,2018,5.070377771,45.75485265,6.9,13.7,,89.8
10,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,9,2018,5.070377771,45.75485265,11.5,14.2,,78.8
11,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,10,2018,5.070377771,45.75485265,11.7,16.6,,56
9,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,11,2018,5.070377771,45.75485265,17.5,13.5,,38.5
13,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,12,2018,5.070377771,45.75485265,16.7,14,,32.1
14,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,12,2017,4.853725888,45.75799123,30,15.6,,24
13,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,1,2018,4.853725888,45.75799123,31,14,,28.7
13,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,2,2018,4.853725888,45.75799123,25.7,23.4,,38.9
13,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,3,2018,4.853725888,45.75799123,29.5,15.8,,52.1
12,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,4,2018,4.853725888,45.75799123,20.9,18,,79.6
14,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,5,2018,4.853725888,45.75799123,17.1,19.6,,74
10,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,6,2018,4.853725888,45.75799123,17.1,16.3,,71.6
10,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,7,2018,4.853725888,45.75799123,17.5,19.3,,89.7
7,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,8,2018,4.853725888,45.75799123,14.5,15.6,,79.9
12,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,9,2018,4.853725888,45.75799123,29.1,20.9,,60.2
37,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,10,2018,4.853725888,45.75799123,25.9,22.5,,42.1
10,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,11,2018,4.853725888,45.75799123,33.8,22.2,,22.6
15,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,12,2018,4.853725888,45.75799123,34.6,,,24.1
15,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,12,2017,4.805142184,45.36778213,25.5,18.5,,33.1
15,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,1,2018,4.805142184,45.36778213,27.4,20.1,,32.5
15,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,2,2018,4.805142184,45.36778213,27.6,27.7,,38.7
15,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,3,2018,4.805142184,45.36778213,23.9,19.2,,49.9
14,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,4,2018,4.805142184,45.36778213,20.5,19.7,,68.3
16,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,5,2018,4.805142184,45.36778213,15,20.4,,69.5
12,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,6,2018,4.805142184,45.36778213,12.6,18.9,,73.5
12,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,7,2018,4.805142184,45.36778213,17,21.9,,84.5
30,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,8,2018,4.805142184,45.36778213,19.7,18.3,,76.4
37,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,9,2018,4.805142184,45.36778213,26.5,20.4,,58.6
13,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,10,2018,4.805142184,45.36778213,24.2,18.8,,41.9
12,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,11,2018,4.805142184,45.36778213,22,19.3,,23
17,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,12,2018,4.805142184,45.36778213,23.7,20.6,,22.2
50,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,12,2017,4.074653898,46.04106794,20.8,10.6,,37.3
20,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,1,2018,4.074653898,46.04106794,20.2,9.7,,41.1
20,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,2,2018,4.074653898,46.04106794,22.8,19.3,,40.5
20,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,3,2018,4.074653898,46.04106794,20.2,10.5,,58.4
19,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,4,2018,4.074653898,46.04106794,14.3,10.6,,72.6
21,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,5,2018,4.074653898,46.04106794,13.4,11.6,,66.5
16,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,6,2018,4.074653898,46.04106794,12.7,10.3,,62.8
16,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,7,2018,4.074653898,46.04106794,14,12,,78.9
12,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,8,2018,4.074653898,46.04106794,12.1,9.6,,74.1
40,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,9,2018,4.074653898,46.04106794,19.4,11.4,,62.8
16,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,10,2018,4.074653898,46.04106794,19.8,14.6,,47.2
16,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,11,2018,4.074653898,46.04106794,23.8,13.4,,30
21,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,12,2018,4.074653898,46.04106794,22.8,14.8,,32.8
20,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,12,2017,4.395419639,45.4201064,22.2,8.9,,37.2
21,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,1,2018,4.395419639,45.4201064,21.7,8.6,,41.3
21,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,2,2018,4.395419639,45.4201064,25.4,19,,38.8
21,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,3,2018,4.395419639,45.4201064,19.7,8.7,,60.1
20,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,4,2018,4.395419639,45.4201064,13.2,13.7,,78.9
22,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,5,2018,4.395419639,45.4201064,14.2,14.3,,67.2
17,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,6,2018,4.395419639,45.4201064,11,12.5,,67.1
17,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,7,2018,4.395419639,45.4201064,10.6,15.1,,87.1
13,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,8,2018,4.395419639,45.4201064,9,12.8,,80
16,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,9,2018,4.395419639,45.4201064,16.4,14.5,,65.2
17,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,10,2018,4.395419639,45.4201064,20.6,17.9,,48
17,LOIRE,Saint-?Ÿƒ?øtienne,SAINT ETIENNE SUD,FR29424,urban,Fond,11,2018,4.395419639,45.4201064,24.9,12.8,,32.2
