,id_bdqa,nom_site,typologie,influence,adresse,so2_nb_d_3,so2_nb_j_s,no2_nb_h_s,no2_moy_an,nox_moy_an,pm10_moy_a,pm10_nb_j_,pm2_5_moy_,o3_nb_j_ma,o3_aot40,co_nb_moy_,c6h6_moy_a,pb_moy_an,as_moy_an,cd_moy_an,ni_moy_an,bap_moy_an,X,Y
59,27007,Bourgoin Jallieu,urbaine,fond,I.F.P.A.C. - Champfleuri  38300 BOURGOIN-JALLIEU,,,0,16,24,,,,8,8534,,,,,,,,5.270870484,45.60827983
60,27008,A7 Nord-Isere,proximité trafic,trafic,Proximité A7  38150 SALAISE-SUR-SANNE,0,0,0,50,128,23,12,19,,,,0.8,,,,,,4.804823931,45.35324122
61,29421,Saint-Etienne Nord,périurbaine,fond,1 rue Pierre de Coubertin  42000 SAINT-ETIENNE,,,0,28,55,23,21,,3,4158,,,,,,,,4.389782694,45.46677343
62,29423,Roanne,urbaine,fond,Rue Gilbertes  42300 ROANNE,0,0,0,21,38,,,,6,7111,,,,,,,,4.07465777,46.04126603
63,29424,Saint-Etienne Sud,urbaine,fond,Place Préher  42000 SAINT-ETIENNE,0,0,0,23,33,18,1,12,7,4760,,,6.6,1.9,0.2,4.8,,4.395420543,45.42014241
64,29426,Est stéphanois / Saint-Chamond,urbaine,fond,8 Rue Dugas Montbel  42400 SAINT-CHAMOND,,,0,30,52,20,9,13,5,10844,,,,,,,,4.515002069,45.47538372
65,29428,N88 Saint-Etienne,proximité trafic,trafic,7 Rue Ernest Renan  42000 SAINT-ETIENNE,,,0,37,75,22,13,16,,,0,,,,,,,4.412784466,45.42205037
66,29429,A47 Vallée du Gier,proximité trafic,trafic,Rue Michelet  42800 RIVE-DE-GIER,,,0,46,109,26,21,,,,0,,,,,,,4.623939552,45.5334837
67,29439,Est Stéphanois / La Talaudière,périurbaine,fond,19 rue Romain Rolland  42350 LA TALAUDIERE,,,0,16,22,19,8,,16,14777,,,,,,,,4.429905721,45.48160671
68,33101,Chambéry Pasteur,urbaine,fond,square Pasteur Rue de Plaisance 73000 CHAMBERY,,,0,26,42,25,15,,16,12399,,,,,,,,5.928433617,45.56458503
69,33102,Chambery le Haut,urbaine,fond,Rue du Grand Champ  73000 CHAMBERY,,,0,18,23,21,12,,10,6497,,,,,,,,5.918673386,45.59679167
70,33111,Saint-Jean de Maurienne,urbaine,fond,Rue Charles Dullin  73300 SAINT-JEAN-DE-MAURIENNE,,,0,16,23,21,9,,0,6111,,,,,,,,6.34960949,45.27474036
71,33114,A43 Vallée de la Maurienne,proximité trafic,trafic,Echangeur de Saint-Julien Montdenis  73870 SAINT-JULIEN-MONT-DENIS,,,,,,6,19,,,,,,,,,,,6.397013045,45.2520578
72,33120,Chamonix,urbaine,fond,Rue du Lyret  74400 CHAMONIX-MONT-BLANC,,,0,30,63,24,35,,4,12449,,,,,,,,6.869923167,45.92259347
73,33121,Albertville,urbaine,fond,Rue Félix Chautemps  73200 ALBERTVILLE,,,0,24,36,,,,26,16329,,,,,,,,6.389601421,45.67510546
74,33201,Annecy Loverchy,urbaine,fond,Rue du Travail  74000 ANNECY,,,0,31,60,25,26,16,3,5802,,,,,,,0.5,6.118434852,45.89534503
75,33202,Annecy Novel,urbaine,fond,Impasse de l'Arcalod  74000 ANNECY,,,0,22,38,,,,5,7476,,,,,,,,6.135661615,45.91705605
76,33211,Annemasse,urbaine,fond,Avenue Florissant  74100 ANNEMASSE,,,0,25,39,,,,,,,,,,,,,6.24059838,46.19579152
77,33212,Gaillard,périurbaine,fond,Rue du Pont Noir  74240 GAILLARD,,,0,22,42,,,,10,12216,,,,,,,,6.215051169,46.19391257
78,33220,Passy,urbaine,fond,Rue Salvatore Allende  74190 PASSY,,,,,,27,45,,7,10851,,,,,,,1.8,6.713642295,45.9235346
79,33232,Chamonix Route Blanche,proximité trafic,trafic,En bordure de chaussée de la RD1205 Village des Bossons 74400 CHAMONIX-MONT-BLANC,,,5,57,165,20,15,,,,,,,,,,,6.845044259,45.90670938
80,33233,Aiguille du midi,rurale régionale,fond,Aiguille du Midi  74400 CHAMONIX-MONT-BLANC,,,,,,,,,28,25287,,,,,,,,6.887267758,45.87860513
81,33302,Saint-Germain-sur-Rhône,rurale régionale,fond,"Lieu-dit ""Sous les Ages""  74910 SAINT-GERMAIN-SUR-RHONE",,,0,14,17,15,1,,5,7524,,,,,,,,5.820805001,46.07235714
82,33305,Bourg en Bresse,urbaine,fond,Rue des Blanchisseries 01000 BOURG-EN-BRESSE,,,0,17,33,19,10,,10,9918,,,,,,,,5.226502303,46.21168017
83,36001,Valence Sud,périurbaine,fond,Groupe scolaire Joliot-Curie  26800 PORTES-LES-VALENCE,,,0,22,33,23,10,,25,16071,,,,,,,,4.876292077,44.87029837
84,36002,Valence urbain centre,urbaine,fond,Square Lesdiguières  26000 VALENCE,0,0,0,26,40,,,,18,14505,,,,,,,,4.893484512,44.93357135
85,36003,A7 Valence,proximité trafic,trafic,Rue Alsace-Lorraine  26500 BOURG-LES-VALENCE,,,0,59,179,24,9,17,,,0,,7.6,0.5,0.2,4.8,,4.889883076,44.94897917
86,36005,Drôme provençale,rurale régionale,fond,Quartier Beauvallon  26220 DIEULEFIT,,,0,4,4,20,1,17,35,19223,,,3,0.3,0.1,3.8,,5.08987261,44.52079714
87,36019,Romans Sur Isère,urbaine,fond,extrémité sud-est du Parc François Mitterrand Rue Saint-Romain 26100 ROMANS-SUR-ISERE,,,0,18,25,28,16,,15,15139,,,,,,,,5.044120717,45.04224405
