,id_bdqa,nom_site,typologie,influence,adresse,so2_nb_d_3,so2_nb_j_s,no2_nb_h_s,no2_moy_an,nox_moy_an,pm10_moy_a,pm10_nb_j_,pm2_5_moy_,o3_nb_j_ma,o3_aot40,co_nb_moy_,c6h6_moy_a,pb_moy_an,as_moy_an,cd_moy_an,ni_moy_an,bap_moy_an,X,Y,year
58,29421,Saint-Etienne Nord,périurbaine,fond,1 rue Pierre de Coubertin  42000 SAINT-ETIENNE,,,0,25,50,20,11,,10,13762,,,,,,,,4.389782694,45.46677343,2014
59,29423,Roanne,urbaine,fond,Rue Gilbertes  42300 ROANNE,,,0,19,34,15,2,,3,10530,,,,,,,,4.07465777,46.04126603,2014
60,29424,Saint-Etienne Sud,urbaine,fond,Place Préher  42000 SAINT-ETIENNE,0,0,,,,,,10,7,11591,,,5.8,7.6,0.1,2.7,,4.395420543,45.42014241,2014
61,29426,Est stéphanois / Saint-Chamond,urbaine,fond,8 Rue Dugas Montbel  42400 SAINT-CHAMOND,,,0,29,51,18,5,8,9,13526,,,,,,,,4.515002069,45.47538372,2014
62,29428,N88 Saint-Etienne,proximité trafic,trafic,7 Rue Ernest Renan  42000 SAINT-ETIENNE,,,0,35,72,20,5,12,,,,,,,,,,4.412784466,45.42205037,2014
63,29429,A47 Vallée du Gier,proximité trafic,trafic,Rue Michelet  42800 RIVE-DE-GIER,,,0,43,97,21,10,,,,,,,,,,,4.623939552,45.5334837,2014
64,29439,Est Stéphanois / La Talaudière,périurbaine,fond,19 rue Romain Rolland  42350 LA TALAUDIERE,,,0,15,23,18,6,,17,17590,,,,,,,,4.429905721,45.48160671,2014
65,29440,Col de l'Oeillon,rurale régionale,fond,42520 ROISEY,,,0,2,2,7,3,,20,17363,,,,,,,,4.615814688,45.38957782,2014
66,33101,Chambéry Pasteur,urbaine,fond,square Pasteur Rue de Plaisance 73000 CHAMBERY,,,0,23,41,18,5,15,16,15357,,,,,,,,5.928433617,45.56458503,2014
67,33111,Saint-Jean de Maurienne,urbaine,fond,Rue Charles Dullin  73300 SAINT-JEAN-DE-MAURIENNE,0,0,0,12,17,13,1,,10,13858,,,,,,,,6.34960949,45.27474036,2014
68,33114,A43 Vallée de la Maurienne,proximité trafic,trafic,Echangeur de Saint-Julien Montdenis  73870 SAINT-JULIEN-MONT-DENIS,0,0,0,32,115,20,8,,,,,,,,,,,6.397013045,45.2520578,2014
69,33120,Chamonix,urbaine,fond,Rue du Lyret  74400 CHAMONIX-MONT-BLANC,,,1,27,58,20,13,,0,10634,,,,,,,,6.869923167,45.92259347,2014
70,33121,Albertville,urbaine,fond,Rue Félix Chautemps  73200 ALBERTVILLE,,,,,,17,3,,11,11938,,,13.4,0.9,0.3,14.8,,6.389601421,45.67510546,2014
71,33122,La Léchère,proximité industrielle,industrielle,Lieu-dit Verney  73260 LA LECHERE,,,,,,25,12,,,,,,,,,,,6.471108479,45.53583296,2014
72,33201,Annecy Loverchy,urbaine,fond,Rue du Travail  74000 ANNECY,,,0,27,60,23,15,16,3,10798,,,,,,,,6.118434852,45.89534503,2014
73,33202,Annecy Novel,urbaine,fond,Impasse de l'Arcalod  74000 ANNECY,,,0,20,35,16,6,,12,13178,,,,,,,,6.135661615,45.91705605,2014
74,33203,Annecy Rocade,proximité trafic,trafic,"16, bd de la Rocade 74000 ANNECY",,,,,,23,11,,,,,,,,,,,6.118119178,45.90961064,2014
75,33211,Annemasse,urbaine,fond,Avenue Florissant  74100 ANNEMASSE,,,0,25,39,17,6,12,7,13429,,,,,,,,6.24059838,46.19579152,2014
76,33212,Gaillard,périurbaine,fond,Rue du Pont Noir  74240 GAILLARD,,,0,19,34,,,11,12,15019,,,,,,,,6.215051169,46.19391257,2014
77,33220,Passy,urbaine,fond,Rue Salvatore Allende  74190 PASSY,,,0,17,33,29,46,,8,14161,,,,,,,,6.713642295,45.9235346,2014
78,33232,Chamonix Route Blanche,proximité trafic,trafic,En bordure de chaussée de la RD1205 Village des Bossons 74400 CHAMONIX-MONT-BLANC,,,12,49,149,15,0,,,,,,,,,,,6.845044259,45.90670938,2014
79,33260,Thonon les Bains,urbaine,fond,Ecole des Suets Avenue Jules Ferry 74200 THONON-LES-BAINS,,,0,17,25,,,,1,7649,,,,,,,,6.484687502,46.37449059,2014
80,33302,Saint-Germain-sur-Rhône,rurale régionale,fond,"Lieu-dit ""Sous les Ages""  74910 SAINT-GERMAIN-SUR-RHONE",0,0,0,10,13,14,1,7,2,7764,,,,,,,,5.820805001,46.07235714,2014
81,33305,Bourg en Bresse,urbaine,fond,Rue des Blanchisseries 01000 BOURG-EN-BRESSE,,,0,19,31,17,9,,14,16418,,,,,,,,5.226502303,46.21168017,2014
82,33307,Oyonnax,urbaine,fond,"148, cours de Verdun 01100 OYONNAX",,,0,15,26,13,4,,,,,,,,,,,5.64195541,46.25399732,2014
83,36001,Valence Sud,périurbaine,fond,Groupe scolaire Joliot-Curie  26800 PORTES-LES-VALENCE,,,,,,,,,13,15320,,,,,,,,4.876292077,44.87029837,2014
84,36002,Valence urbain centre,urbaine,fond,Square Lesdiguières  26000 VALENCE,,,0,24,35,19,8,14,12,15031,,,,,,,,4.893484512,44.93357135,2014
85,36003,A7 Valence,proximité trafic,trafic,Rue Alsace-Lorraine  26500 BOURG-LES-VALENCE,,,0,56,157,,,14,,,,,6.4,0.5,0.1,1.7,,4.889883076,44.94897917,2014
86,36007,Saint-Bauzile ZI,proximité industrielle,industrielle,Mairie de St Bauzile le Village  7210 SAINT-BAUZILE,0,0,,,,,,,,,,,,,,,,4.673594253,44.67599328,2014
87,36019,Romans Sur Isère,urbaine,fond,extrémité sud-est du Parc François Mitterrand Rue Saint-Romain 26100 ROMANS-SUR-ISERE,,,0,16,24,21,10,,21,19807,,,,,,,,5.044120717,45.04224405,2014
88,36021,Drome Rurale Sud,rurale nationale,fond,"Centre de Secours, RD 125 26340 Saint-Nazaire-le-Désert",,,0,2,3,10,0,7,22,19632,,,,,,,,5.278963621,44.56945091,2014
