"gid","nom_dept","nom_com","nom_station","code_station","typologie","influence","ozone","mois","annee","X","Y","no2","pm10","s02"
21,"LOIRE","Saint-Chamond","SAINT-CHAMOND","FR29426","urban","Fond",27.6,12,2017,4.514999613,45.47529369,32.2,13.8,
6,"RHONE","Pusignan","SAINT EXUPERY","FR20048","suburban","Fond",89.8,8,2018,5.070377771,45.75485265,6.9,13.7,
17,"LOIRE","Saint-Ã‰tienne","SAINT ETIENNE SUD","FR29424","urban","Fond",48.0,10,2018,4.395419639,45.4201064,20.6,17.9,
56,"ISERE","Vienne","Vienne Estressin","FR27102","suburban","Fond",,4,2018,4.863904251,45.53975628,,,
98,"ISERE","Vienne","Vienne Centre","FR27004","urban","Fond",,12,2017,4.875409555,45.52596386,,,
9,"RHONE","Ternay","TERNAY","FR20037","suburban","Fond",65.2,5,2018,4.802195719,45.60192128,12.3,17.5,
70,"ISERE","Fontaine","Fontaine Les Balmes","FR15017","urban","Fond",,9,2018,5.686968799,45.19044442,,,
11,"RHONE","Vaulx-en-Velin","VAULX EN VELIN","FR20046","urban","Fond",20.2,12,2018,4.924700509,45.77887089,25.8,19.0,
128,"LOIRE","Veauche","VEAUCHE","FR29427","suburban","Industrielle",,4,2018,4.298550264,45.56581455,,,
4,"ISERE","Saint-Martin-d'HÃ¨res","St Martin dHeres","FR15038","urban","Fond",10.3,12,2018,5.75310114,45.18279644,38.6,23.1,
23,"SAVOIE","ChambÃ©ry","CHAMBERY LE HAUT","FR33102","urban","Fond",77.3,4,2018,5.918616424,45.59668502,11.7,15.0,
16,"HAUTE-SAVOIE","Chamonix-Mont-Blanc","CHAMONIX","FR33120","urban","Fond",57.3,8,2018,6.869996699,45.92253686,15.8,13.0,
6,"RHONE","Lyon","GERLAND","FR20017","urban","Fond",64.2,6,2018,4.829800054,45.73532325,14.8,16.1,
12,"RHONE","Lyon","LYON Centre","FR20062","urban","Fond",79.6,4,2018,4.853725888,45.75799123,20.9,18.0,
40,"PUY-DE-DOME","Clermont-Ferrand","Jardin Lecoq","FR07009","urban","Fond",30.7,11,2018,3.087501101,45.77219697,26.7,,
87,"RHONE","Villeurbanne","CROIX LUIZET","FR20020","urban","Fond",,9,2018,4.894029845,45.77641745,,,
39,"LOIRE","Saint-Chamond","SAINT-CHAMOND","FR29426","urban","Fond",20.8,12,2018,4.514999613,45.47529369,34.1,16.2,
27,"HAUTE-SAVOIE","Annecy","LOVERCHY","FR33201","urban","Fond",22.7,12,2017,6.118449775,45.89538066,30.3,19.8,
99,"ISERE","Vienne","Vienne Centre","FR27004","urban","Fond",,12,2018,4.875409555,45.52596386,,,
16,"LOIRE","Roanne","ROANNE","FR29423","urban","Fond",30.0,11,2018,4.074653898,46.04106794,23.8,13.4,
129,"LOIRE","Veauche","VEAUCHE","FR29427","suburban","Industrielle",,5,2018,4.298550264,45.56581455,,,
9,"RHONE","Vaulx-en-Velin","VAULX EN VELIN","FR20046","urban","Fond",28.4,1,2018,4.924700509,45.77887089,24.0,13.8,
28,"HAUTE-SAVOIE","Saint-Germain-sur-RhÃ´ne","St Germain/RhÃ´ne","FR33302","rural-nearcity","Fond",77.4,6,2018,5.820837783,46.07223918,4.2,13.7,-0.2
20,"SAVOIE","ChambÃ©ry","PASTEUR","FR33101","urban","Fond",69.9,6,2018,5.928435518,45.56462103,11.2,11.6,
28,"HAUTE-SAVOIE","Annemasse","ANNEMASSE","FR33211","urban","Fond",71.7,4,2018,6.240562703,46.19584661,18.4,18.2,
32,"HAUTE-SAVOIE","Passy","PASSY","FR33220","suburban","Fond",31.6,2,2018,6.713642902,45.9235436,23.9,30.0,
