,id_bdqa,nom_site,typologie,influence,adresse,so2_nb_d_3,so2_nb_j_s,no2_nb_h_s,no2_moy_an,nox_moy_an,pm10_moy_a,pm10_nb_j_,pm2_5_moy_,o3_nb_j_ma,o3_aot40,co_nb_moy_,c6h6_moy_a,pb_moy_an,as_moy_an,cd_moy_an,ni_moy_an,bap_moy_an,X,Y
69,33105,Chambery trafic,proximité trafic,trafic,"226, avenue de Turin 73000 CHAMBERY",,,0,31,70,22,16,,,,,,,,,,,5.933052558,45.56944762
70,33111,Saint-Jean de Maurienne,urbaine,fond,Rue Charles Dullin  73300 SAINT-JEAN-DE-MAURIENNE,0,0,0,12,17,14,2,,7,12049,,,,,,,,6.34960949,45.27474036
71,33114,A43 Vallée de la Maurienne,proximité trafic,trafic,Echangeur de Saint-Julien Montdenis  73870 SAINT-JULIEN-MONT-DENIS,0,0,0,34,74,21,14,,,,,,,,,,,6.397013045,45.2520578
72,33120,Chamonix,urbaine,fond,Rue du Lyret  74400 CHAMONIX-MONT-BLANC,,,1,28,63,18,16,,,,,,,,,,,6.869923167,45.92259347
73,33121,Albertville,urbaine,fond,Rue Félix Chautemps  73200 ALBERTVILLE,,,0,21,34,16,3,,18,12720,,,,,,,,6.389601421,45.67510546
74,33122,La Léchère,proximité industrielle,industrielle,Lieu-dit Verney  73260 LA LECHERE,,,,,,18,1,,,,,,,,,,,6.471108479,45.53583296
75,33201,Annecy Loverchy,urbaine,fond,Rue du Travail  74000 ANNECY,,,0,27,57,23,24,17,15,11476,,,,,,,,6.118434852,45.89534503
76,33202,Annecy Novel,urbaine,fond,Impasse de l'Arcalod  74000 ANNECY,,,0,18,35,18,0,,22,13191,,,,,,,,6.135661615,45.91705605
77,33203,Annecy Rocade,proximité trafic,trafic,"16, bd de la Rocade 74000 ANNECY",,,0,40,100,25,17,,,,,,,,,,,6.118119178,45.90961064
78,33211,Annemasse,urbaine,fond,Avenue Florissant  74100 ANNEMASSE,,,0,24,38,17,0,15,20,11628,,,,,,,,6.24059838,46.19579152
79,33213,Annemasse trafic,proximité trafic,trafic,Rue des Amoureux 74100 ANNEMASSE,,,0,31,68,18,2,,,,,,,,,,,6.23554116,46.19080756
80,33220,Passy,urbaine,fond,Rue Salvatore Allende  74190 PASSY,,,0,18,35,24,36,,6,10177,,,,,,,,6.713642295,45.9235346
81,33232,Chamonix Route Blanche,proximité trafic,trafic,En bordure de chaussée de la RD1205 Village des Bossons 74400 CHAMONIX-MONT-BLANC,,,35,47,136,16,4,,,,,,,,,,,6.845044259,45.90670938
82,33302,Saint-Germain-sur-Rhône,rurale régionale,fond,"Lieu-dit ""Sous les Ages""  74910 SAINT-GERMAIN-SUR-RHONE",0,0,0,8,9,12,0,8,19,10518,,,,,,,,5.820805001,46.07235714
83,33305,Bourg en Bresse,urbaine,fond,Rue des Blanchisseries 01000 BOURG-EN-BRESSE,,,0,18,29,19,6,,22,14700,,,,,,,,5.226502303,46.21168017
84,33374,Magland,périurbaine,fond,Place de l'église 74300 Magland,,,0,26,55,19,15,,,,,,,,,,,6.620338435,46.02033742
85,36001,Valence Sud,périurbaine,fond,Groupe scolaire Joliot-Curie  26800 PORTES-LES-VALENCE,,,0,20,29,21,12,,22,16319,,,,,,,,4.876292077,44.87029837
86,36002,Valence urbain centre,urbaine,fond,Square Lesdiguières  26000 VALENCE,,,0,24,35,21,10,13,22,16748,,,,,,,,4.893484512,44.93357135
87,36003,A7 Valence,proximité trafic,trafic,Rue Alsace-Lorraine  26500 BOURG-LES-VALENCE,,,0,50,126,21,10,14,,,,,,,,1.8,,4.889883076,44.94897917
88,36007,Saint-Bauzile ZI,proximité industrielle,industrielle,Mairie de St Bauzile le Village  7210 SAINT-BAUZILE,0,0,,,,,,,,,,,,,,,,4.673594253,44.67599328
89,36019,Romans Sur Isère,urbaine,fond,extrémité sud-est du Parc François Mitterrand Rue Saint-Romain 26100 ROMANS-SUR-ISERE,,,0,15,25,,,,,,,,,,,,,5.044120717,45.04224405
90,36021,Drome Rurale Sud,rurale nationale,fond,"Centre de Secours, RD 125 26340 Saint-Nazaire-le-Désert",,,0,2,3,8,0,5,19,16268,,,,,,,,5.278963621,44.56945091
91,36025,Annonay,urbaine,fond,"38, rue Sadi Carnot - 07100 Annonay",,,0,15,24,17,2,,,,,,,,,,,4.672588779,45.24277758
