,gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,validite,validation,ESRI_OID,mois,annee,X,Y
493,78,DROME,Bourg-lÃ¨s-Valence,Valence Trafic,FR36003,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,221984,12,2017,4.889881256,44.94892516
494,24,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,Particules PM10,5,13.3,ug.m-3,mensuel,1,1,222820,7,2018,4.514999613,45.47529369
495,11,RHONE,Pusignan,SAINT EXUPERY,FR20048,suburban,Fond,Particules PM10,5,14.2,ug.m-3,mensuel,1,1,223066,9,2018,5.070377771,45.75485265
496,121,SAVOIE,Saint-Alban-des-Villards,Les Villards Saint-Alban,FR33116,rural-regional,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222425,4,2018,6.260022655,45.31540203
497,75,ARDECHE,Annonay,Annonay Urb centre,FR36004,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,221884,12,2017,4.669704166,45.24649528
498,54,ISERE,Ã‰chirolles,Le Rondeau,FR15039,urban,Trafic,Particules PM10,5,32.2,ug.m-3,mensuel,1,1,222179,2,2018,5.703760159,45.15832579
499,83,ISERE,Vienne,Vienne Estressin,FR27102,suburban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222966,8,2018,4.863904251,45.53975628
500,18,RHONE,Lyon,LYON Centre,FR20062,urban,Fond,Particules PM10,5,16.3,ug.m-3,mensuel,1,1,222671,6,2018,4.853725888,45.75799123
501,86,AIN,TrÃ©voux,VILLEFRANCHE PERIURB,FR20068,suburban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,223212,10,2018,4.796107228,45.93627613
502,44,ALLIER,Paray-le-FrÃ©sil,Paray le Fresil,FR07022,rural-regional,Fond,Particules PM10,5,14.7,ug.m-3,mensuel,1,1,222199,2,2018,3.600672472,46.65267164
503,63,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,Particules PM10,5,18.9,ug.m-3,mensuel,1,1,222697,6,2018,4.805142184,45.36778213
504,33,SAVOIE,ChambÃ©ry,ChambÃ©ry Trafic,FR33105,urban,Trafic,Particules PM10,5,20.5,ug.m-3,mensuel,1,1,223361,12,2018,5.932988974,45.56945829
505,18,RHONE,Saint-Fons,ST FONS CENTRE,FR20031,suburban,Industrielle,Particules PM10,5,23.6,ug.m-3,mensuel,1,1,223195,10,2018,4.86439959,45.70782432
506,48,HAUTE-LOIRE,Le Puy-en-Velay,Le Puy-Causans,FR07054,urban,Fond,Particules PM10,5,16.6,ug.m-3,mensuel,1,1,222176,2,2018,3.88700062,45.0389749
507,3,ISERE,Voiron,Voiron Urbain,FR15018,urban,Fond,Particules PM10,5,20.8,ug.m-3,mensuel,1,1,223338,11,2018,5.589410897,45.3601406
508,85,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222840,7,2018,4.924700509,45.77887089
509,41,HAUTE-SAVOIE,Saint-Germain-sur-RhÃ´ne,St Germain/RhÃ´ne,FR33302,rural-nearcity,Fond,Particules PM10,5,13.4,ug.m-3,mensuel,1,1,222342,3,2018,5.820837783,46.07223918
510,107,HAUTE-LOIRE,Le Puy-en-Velay,Le Puy Coiffier,FR07043,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222909,8,2018,3.888801777,45.04283244
511,70,DROME,Dieulefit,DrÃ´me Rurale Sud,FR36005,rural-regional,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222150,2,2018,5.08986928,44.52070715
512,79,ARDECHE,Aubenas,Aubenas_belvedere,FR36022,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222983,9,2018,4.384983021,44.62229272
513,1,ISERE,Fontaine,Fontaine Les Balmes,FR15017,urban,Fond,Particules PM10,5,17.3,ug.m-3,mensuel,1,1,221913,12,2017,5.686968799,45.19044442
514,23,LOIRE,Saint-Ã‰tienne,SAINT ETIENNE SUD,FR29424,urban,Fond,Particules PM10,5,14.3,ug.m-3,mensuel,1,1,222577,5,2018,4.395419639,45.4201064
515,100,LOIRE,Saint-Ã‰tienne,COUBERTIN,FR29421,suburban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,223244,11,2018,4.389781793,45.46673742
516,89,LOIRE,Veauche,VEAUCHE,FR29427,suburban,Industrielle,Particules PM10,5,,ug.m-3,mensuel,0,0,221987,12,2017,4.298550264,45.56581455
517,63,AIN,Ordonnaz,Ordonnaz,FR20078,rural-regional,Fond,Particules PM10,5,9.3,ug.m-3,mensuel,1,1,222319,3,2018,5.538096604,45.83719216
518,112,PUY-DE-DOME,ChamaliÃ¨res,ChamaliÃ¨res Europe,FR07039,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222505,5,2018,3.062977943,45.77473469
519,106,ALLIER,MontluÃ§on,Montlucon Centre,FR07010,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,223169,10,2018,2.59800478,46.34396188
520,82,DROME,Bourg-lÃ¨s-Valence,Valence Trafic,FR36003,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222960,8,2018,4.889881256,44.94892516
521,43,DROME,Romans-sur-IsÃ¨re,Romans-sur-IsÃ¨re,FR36019,urban,Fond,Particules PM10,5,16.6,ug.m-3,mensuel,1,1,221964,12,2017,5.04429431,45.04247504
522,28,SAVOIE,ChambÃ©ry,CHAMBERY LE HAUT,FR33102,urban,Fond,Particules PM10,5,13.1,ug.m-3,mensuel,1,1,222628,6,2018,5.918616424,45.59668502
523,62,RHONE,Lyon 1er Arrondissement,Lyon - Tunnel Croix-Rousse - Sortie RhÃ´ne,FR20065,urban,Fond,Particules PM10,5,22,ug.m-3,mensuel,1,1,222554,5,2018,4.83693921,45.77249745
524,2,RHONE,La MulatiÃ¨re,A7 SUD LYONNAIS,FR20013,suburban,Trafic,Particules PM10,5,31.2,ug.m-3,mensuel,1,1,223218,11,2018,4.818102302,45.72029023
525,39,HAUTE-SAVOIE,Annecy,ANNECY Rocade,FR33203,urban,Trafic,Particules PM10,5,21.1,ug.m-3,mensuel,1,1,222368,4,2018,6.118120196,45.90962864
526,59,PUY-DE-DOME,Clermont-Ferrand,Jardin Lecoq,FR07009,urban,Fond,Particules PM10,5,14.5,ug.m-3,mensuel,1,1,223026,9,2018,3.087501101,45.77219697
527,93,HAUTE-LOIRE,Le Puy-en-Velay,Le Puy Fayolle,FR07021,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,223032,9,2018,3.885422203,45.04195891
528,5,ISERE,Vif,Grenoble PeriurbSud,FR15045,suburban,Fond,Particules PM10,5,12.1,ug.m-3,mensuel,1,1,222534,5,2018,5.676696129,45.05780535
529,78,ARDECHE,Annonay,Annonay Urb centre,FR36004,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222860,8,2018,4.669704166,45.24649528
530,1,ISERE,Voiron,Voiron Urbain,FR15018,urban,Fond,Particules PM10,5,10.8,ug.m-3,mensuel,1,1,222362,3,2018,5.589410897,45.3601406
531,113,HAUTE-SAVOIE,Marnaz,MARNAZ,FR33367,suburban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222434,4,2018,6.533393932,46.05767847
532,45,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,Particules PM10,5,14.8,ug.m-3,mensuel,1,1,222932,8,2018,6.713642902,45.9235436
533,47,DROME,Saint-Nazaire-le-DÃ©sert,DrÃ´me Rurale Sud-SND,FR36021,rural-remote,Fond,Particules PM10,5,10.8,ug.m-3,mensuel,1,1,222883,8,2018,5.278976936,44.56946865
534,18,ISERE,Bourgoin-Jallieu,Bourgoin-Jallieu,FR27007,urban,Fond,Particules PM10,5,14.5,ug.m-3,mensuel,1,1,221893,12,2017,5.270867533,45.60820782
535,31,SAVOIE,ChambÃ©ry,ChambÃ©ry Trafic,FR33105,urban,Trafic,Particules PM10,5,17.5,ug.m-3,mensuel,1,1,222385,4,2018,5.932988974,45.56945829
536,7,RHONE,Saint-Fons,ST FONS CENTRE,FR20031,suburban,Industrielle,Particules PM10,5,25,ug.m-3,mensuel,1,1,222219,2,2018,4.86439959,45.70782432
537,78,RHONE,Villeurbanne,CROIX LUIZET,FR20020,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222391,4,2018,4.894029845,45.77641745
538,119,SAVOIE,Saint-Julien-Mont-Denis,St Julien Montdenis,FR33112,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,223075,9,2018,6.412227165,45.2492148
539,63,HAUTE-LOIRE,Le Puy-en-Velay,Le Puy-Causans,FR07054,urban,Fond,Particules PM10,5,14.5,ug.m-3,mensuel,1,1,223152,10,2018,3.88700062,45.0389749
540,3,ISERE,Grenoble,Grenoble Les Frenes,FR15043,urban,Fond,Particules PM10,5,17,ug.m-3,mensuel,1,1,222411,4,2018,5.735603366,45.16187407
541,21,ISERE,Salaise-sur-Sanne,A7 Nord-IsÃ¨re,FR27008,suburban,Trafic,Particules PM10,5,19.2,ug.m-3,mensuel,1,1,222485,5,2018,4.804822471,45.35319621
542,8,RHONE,La MulatiÃ¨re,A7 SUD LYONNAIS,FR20013,suburban,Trafic,Particules PM10,5,25.7,ug.m-3,mensuel,1,1,222242,3,2018,4.818102302,45.72029023
543,53,HAUTE-SAVOIE,Demi-Quartier,Demi-Quartier,FR33237,suburban,Fond,Particules PM10,5,14.1,ug.m-3,mensuel,1,1,223003,9,2018,6.617393259,45.87510164
544,90,AIN,Oyonnax,Oyonnax Piscine,FR33307,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,223052,9,2018,5.641944608,46.25404262
545,58,ALLIER,Paray-le-FrÃ©sil,Paray le Fresil,FR07022,rural-regional,Fond,Particules PM10,5,12.3,ug.m-3,mensuel,1,1,223175,10,2018,3.600672472,46.65267164
546,43,HAUTE-SAVOIE,Annemasse,ANNEMASSE TRAFIC,FR33213,urban,Trafic,Particules PM10,5,25.3,ug.m-3,mensuel,1,1,223224,11,2018,6.235543816,46.19085254
547,89,LOIRE,Saint-Ã‰tienne,ST ETIENNE ROND PT,FR29428,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222462,4,2018,4.412835605,45.42204972
548,14,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,Particules PM10,5,13.2,ug.m-3,mensuel,1,1,222511,5,2018,4.953959787,45.82322611
549,104,ALLIER,MontluÃ§on,Montlucon Centre,FR07010,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222193,2,2018,2.59800478,46.34396188
550,113,PUY-DE-DOME,Riom,Riom PÃ©riurbaine,FR07061,suburban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222205,2,2018,3.122172052,45.89670283
551,90,AIN,Oyonnax,Oyonnax Piscine,FR33307,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222442,4,2018,5.641944608,46.25404262
552,122,DROME,Pierrelatte,Pierrelatte,FR36027,urban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222691,6,2018,4.696927446,44.36843787
553,118,HAUTE-SAVOIE,Sallanches,Sallanches RÃ©gie,FR33236,suburban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222703,6,2018,6.641257765,45.93256865
554,33,SAVOIE,Saint-Jean-de-Maurienne,SAINT JEAN,FR33111,urban,Fond,Particules PM10,5,16.8,ug.m-3,mensuel,1,1,223189,10,2018,6.349723082,45.27471893
555,23,DROME,Romans-sur-IsÃ¨re,Romans-sur-IsÃ¨re,FR36019,urban,Fond,Particules PM10,5,13.8,ug.m-3,mensuel,1,1,222940,8,2018,5.04429431,45.04247504
556,25,LOIRE,Saint-Chamond,SAINT-CHAMOND,FR29426,urban,Fond,Particules PM10,5,12.1,ug.m-3,mensuel,1,1,222454,4,2018,4.514999613,45.47529369
557,46,HAUTE-SAVOIE,Saint-Germain-sur-RhÃ´ne,St Germain/RhÃ´ne,FR33302,rural-nearcity,Fond,Particules PM10,5,11.8,ug.m-3,mensuel,1,1,222952,8,2018,5.820837783,46.07223918
558,107,HAUTE-LOIRE,Le Puy-en-Velay,Le Puy Coiffier,FR07043,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222299,3,2018,3.888801777,45.04283244
559,40,HAUTE-SAVOIE,Annecy,ANNECY Rocade,FR33203,urban,Trafic,Particules PM10,5,21,ug.m-3,mensuel,1,1,223344,12,2018,6.118120196,45.90962864
560,67,DROME,Valence,Valence boulevard,FR36033,urban,Trafic,Particules PM10,5,16.3,ug.m-3,mensuel,1,0,222348,3,2018,4.918420468,44.93123441
561,19,RHONE,Lyon 7e Arrondissement,LYON TRAFIC JAURES,FR20070,urban,Trafic,Particules PM10,5,20.5,ug.m-3,mensuel,1,1,222797,7,2018,4.84438932,45.7496774
562,26,AIN,Ordonnaz,Ordonnaz,FR20078,rural-regional,Fond,Particules PM10,5,8.3,ug.m-3,mensuel,1,1,223295,11,2018,5.538096604,45.83719216
563,86,AIN,TrÃ©voux,VILLEFRANCHE PERIURB,FR20068,suburban,Fond,Particules PM10,5,,ug.m-3,mensuel,0,0,222846,7,2018,4.796107228,45.93627613
564,38,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,Particules PM10,5,14.4,ug.m-3,mensuel,1,1,222491,5,2018,6.240562703,46.19584661
565,118,CANTAL,Aurillac,Aurillac Centre,FR07011,urban,Trafic,Particules PM10,5,,ug.m-3,mensuel,0,0,222740,7,2018,2.436778768,44.92313152
