,gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,validite,validation,ESRI_OID,mois,annee,X,Y
29,10,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,Ozone,7,27.8,ug.m-3,mensuel,1,1,231481,12,2017,4.924700509,45.77887089
30,33,HAUTE-SAVOIE,Saint-Germain-sur-Rh̫ne,St Germain/Rh̫ne,FR33302,rural-nearcity,Fond,Ozone,7,71.2,ug.m-3,mensuel,1,1,232145,5,2018,5.820837783,46.07223918
31,77,AIN,Bourg-en-Bresse,Bourg-en-Bresse,FR33305,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231510,1,2018,5.226583389,46.21175966
32,86,ALLIER,Montlṳon,Montlucon Hippodrome,FR07016,suburban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231836,3,2018,2.600998114,46.32398167
33,47,HAUTE-LOIRE,Le Puy-en-Velay,Le Puy-Causans,FR07054,urban,Fond,Ozone,7,66.4,ug.m-3,mensuel,1,1,232500,8,2018,3.88700062,45.0389749
34,103,ARDECHE,Annonay,Annonay Urb centre,FR36004,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232174,6,2018,4.669704166,45.24649528
35,122,ISERE,Faramans,PLAINE DE BIEVRE,FR27006,rural-nearcity,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231581,1,2018,5.17412782,45.39779885
36,57,ISERE,Vienne,Vienne Estressin,FR27102,suburban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232838,10,2018,4.863904251,45.53975628
37,12,RHONE,Di̬me,HAUT BEAUJOLAIS,FR20049,rural-nearcity,Fond,Ozone,7,64.2,ug.m-3,mensuel,1,1,232761,10,2018,4.465714093,45.96139254
38,45,PUY-DE-DOME,Riom,Riom,FR07032,urban,Fond,Ozone,7,67.2,ug.m-3,mensuel,1,1,231859,3,2018,3.115060625,45.89418891
39,63,DROME,Pierrelatte,Pierrelatte,FR36027,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232523,8,2018,4.696927446,44.36843787
40,107,LOIRE,Firminy,FIRMINY,FR29425,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232074,5,2018,4.281682417,45.38796299
41,83,LOIRE,Roisey,COL_OEILLON,FR29440,rural-regional,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232197,6,2018,4.61581495,45.38958683
42,115,RHONE,Feyzin,FEYZIN MAIRIE,FR20030,suburban,Industrielle,Ozone,7,,ug.m-3,mensuel,0,0,231533,1,2018,4.856115043,45.67166154
43,122,ISERE,Bourgoin-Jallieu,Bourgoin-Jallieu,FR27007,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232861,11,2018,5.270867533,45.60820782
44,59,RHONE,Yzeron,COTEAUX_DU_LYONNAIS,FR20204,rural-regional,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232738,10,2018,4.598848721,45.7234334
45,133,HAUTE-SAVOIE,Thonon-les-Bains,THONON les Bains,FR33260,urban,Fond,Ozone,7,,ug.m-3,mensuel,0,0,231882,3,2018,6.484725919,46.37448041
46,42,CANTAL,Rageade,Rageade,FR07031,rural-regional,Fond,Ozone,7,87.8,ug.m-3,mensuel,1,1,232128,5,2018,3.277361408,45.10473936
47,82,PUY-DE-DOME,Anzat-le-Luguet,Anzat le Luguet,FR07160,rural-regional,Fond,Ozone,7,,ug.m-3,mensuel,0,0,232715,10,2018,2.812967352,45.53236713
48,52,HAUTE-LOIRE,Fay-sur-Lignon,Pays du Mezenc,FR07056,rural-regional,Fond,Ozone,7,73,ug.m-3,mensuel,1,1,232792,10,2018,4.226011601,44.98380061
