,gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,validite,validation,ESRI_OID,mois,annee,X,Y
29,69,SAVOIE,ChambÃ©ry,CHAMBERY LE HAUT,FR33102,urban,Fond,Dioxyde d'azote,8,16.4,ug.m-3,mensuel,1,1,273296,3,2018,5.918616424,45.59668502
30,98,RHONE,Lyon,BREST,FR20011,urban,Trafic,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273290,3,2018,4.831397349,45.76529163
31,18,RHONE,Villefranche-sur-SaÃ´ne,Villefranche Centre ,FR20077,urban,Fond,Dioxyde d'azote,8,8.9,ug.m-3,mensuel,1,1,273883,6,2018,4.715564903,45.9901271
32,24,LOIRE,Roanne,ROANNE,FR29423,urban,Fond,Dioxyde d'azote,8,23.8,ug.m-3,mensuel,1,1,274624,11,2018,4.074653898,46.04106794
33,142,PUY-DE-DOME,Clermont-Ferrand,Gaillard,FR07007,urban,Trafic,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273319,3,2018,3.082777891,45.78030494
34,118,PUY-DE-DOME,Orcines,Sommet du Puy de Dom,FR07015,rural-nearcity,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273860,6,2018,2.964587835,45.77213529
35,98,ALLIER,MontluÃ§on,Montlucon Chateau,FR07013,urban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273983,7,2018,2.605002568,46.34002422
36,48,HAUTE-SAVOIE,Annemasse,ANNEMASSE TRAFIC,FR33213,urban,Trafic,Dioxyde d'azote,8,29.6,ug.m-3,mensuel,1,1,274524,11,2018,6.235543816,46.19085254
37,29,LOIRE,Saint-Ã‰tienne,ST ETIENNE BD URBAIN ,FR29441,urban,Trafic,Dioxyde d'azote,8,41.3,ug.m-3,mensuel,1,1,274641,11,2018,4.388763482,45.44801752
38,18,RHONE,Lyon 7e Arrondissement,LYON TRAFIC JAURES,FR20070,urban,Trafic,Dioxyde d'azote,8,31.3,ug.m-3,mensuel,1,1,273977,7,2018,4.84438932,45.7496774
39,98,RHONE,Lyon 2e Arrondissement,Lyon Presqu'Ã®le,FR20071,urban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273196,2,2018,4.828762953,45.75335466
40,84,RHONE,Lyon,ST JUST,FR20004,urban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,274647,11,2018,4.820334655,45.75529247
41,96,RHONE,Lyon,ETATS UNIS,FR20016,urban,Trafic,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273313,3,2018,4.859768259,45.73870604
42,123,HAUTE-LOIRE,Le Puy-en-Velay,Le Puy Centre,FR07012,urban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273342,3,2018,3.883006849,45.04503959
43,59,PUY-DE-DOME,Royat,Royat PÃ©riurbaine,FR07060,suburban,Fond,Dioxyde d'azote,8,6.6,ug.m-3,mensuel,1,1,274006,7,2018,3.046111478,45.76411707
44,3,ISERE,Saint-Martin-d'HÃ¨res,St Martin dHeres,FR15038,urban,Fond,Dioxyde d'azote,8,34.1,ug.m-3,mensuel,1,1,273244,2,2018,5.75310114,45.18279644
45,4,ISERE,Voiron,Voiron Urbain,FR15018,urban,Fond,Dioxyde d'azote,8,26.1,ug.m-3,mensuel,1,1,274670,11,2018,5.589410897,45.3601406
46,150,ISERE,Vienne,Vienne Estressin,FR27102,suburban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273413,3,2018,4.863904251,45.53975628
47,98,SAVOIE,ChambÃ©ry,ChambÃ©ry Trafic,FR33105,urban,Trafic,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,274077,8,2018,5.932988974,45.56945829
48,54,PUY-DE-DOME,Clermont-Ferrand,Site autoroutier A71,FR07042,urban,Trafic,Dioxyde d'azote,8,30.9,ug.m-3,mensuel,1,1,273390,3,2018,3.143004889,45.78402676
49,129,ISERE,Voreppe,Voreppe Volouise,FR15044,suburban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273267,2,2018,5.638513494,45.2817833
50,89,LOIRE,Saint-Ã‰tienne,COUBERTIN,FR29421,suburban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,273931,7,2018,4.389781793,45.46673742
51,156,ISERE,Vienne,Vienne Centre,FR27004,urban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,274816,12,2018,4.875409555,45.52596386
52,91,ISERE,Bourgoin-Jallieu,Bourgoin-Jallieu,FR27007,urban,Fond,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,274693,12,2018,5.270867533,45.60820782
53,78,RHONE,Lyon,PUITS GAILLOT,FR20001,urban,Trafic,Dioxyde d'azote,8,,ug.m-3,mensuel,0,0,274152,8,2018,4.836389594,45.76719208
54,13,RHONE,Genas,GENAS,FR20045,suburban,Fond,Dioxyde d'azote,8,28.5,ug.m-3,mensuel,1,1,274570,11,2018,4.980295626,45.73169921
