,gid,nom_dept,nom_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,validite,validation,ESRI_OID,mois,annee,X,Y
63,40,PUY-DE-DOME,Clermont-Ferrand,Gaillard,FR07007,urban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128782,7,2018,3.082777891,45.78030494
64,19,CANTAL,Aurillac,Aurillac Centre,FR07011,urban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128290,2,2018,2.436778768,44.92313152
65,67,ISERE,Vizille,Vizille,FR15014,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129131,10,2018,5.770856387,45.07928726
66,91,ISERE,Grenoble,Grenoble Foch,FR15006,urban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128977,9,2018,5.721383085,45.18078138
67,78,HAUTE-SAVOIE,Annecy,LOVERCHY,FR33201,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128141,12,2017,6.118449775,45.89538066
68,20,RHONE,Lyon,DUCHERE,FR20007,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128682,6,2018,4.79473598,45.78641735
69,3,ISERE,Les Roches-de-Condrieu,ROCHES DE CONDRIEU,FR27003,suburban,Industrielle,Dioxyde de soufre,1,2.4,ug.m-3,mensuel,1,1,128344,2,2018,4.766521159,45.45450301
70,14,AIN,Miribel,COTIERE AIN,FR20047,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128490,4,2018,4.953959787,45.82322611
71,30,RHONE,Lyon,ST JUST,FR20004,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128736,6,2018,4.820334655,45.75529247
72,26,RHONE,Pierre-B̩nite,PIERRE BENITE,FR20034,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128244,1,2018,4.829697101,45.69956602
73,87,PUY-DE-DOME,Aubi̬re,Landais,FR07005,suburban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129077,10,2018,3.111945993,45.76389086
74,24,ISERE,Champagnier,Champagnier,FR15012,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128390,3,2018,5.726999066,45.10928942
75,22,RHONE,Vaulx-en-Velin,VAULX EN VELIN,FR20046,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128931,8,2018,4.924700509,45.77887089
76,42,RHONE,Millery,MILLERY,FR20040,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129177,11,2018,4.803054227,45.63028
77,44,RHONE,Solaize,SOLAIZE,FR20033,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128636,5,2018,4.843340379,45.64917303
78,77,ISERE,Voreppe,Voreppe,FR15003,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128287,1,2018,5.64583986,45.28476346
79,46,SAVOIE,Saint-Julien-Mont-Denis,St Julien trafic,FR33114,urban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128453,3,2018,6.397018275,45.25256234
80,61,PUY-DE-DOME,Clermont-Ferrand,Centre Ville,FR07003,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128951,9,2018,3.083334107,45.77364091
81,90,ISERE,Livet-et-Gavet,Riouperoux,FR15015,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129094,10,2018,5.897099405,45.08625696
82,77,ISERE,Voreppe,Voreppe,FR15003,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128381,2,2018,5.64583986,45.28476346
83,29,HAUTE-SAVOIE,Passy,PASSY,FR33220,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128430,3,2018,6.713642902,45.9235436
84,86,RHONE,Lyon,GERLAND,FR20017,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128596,5,2018,4.829800054,45.73532325
85,33,RHONE,Ternay,TERNAY,FR20037,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128928,8,2018,4.802195719,45.60192128
86,91,ISERE,Grenoble,Grenoble Foch,FR15006,urban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129071,10,2018,5.721383085,45.18078138
87,65,HAUTE-SAVOIE,Annemasse,ANNEMASSE,FR33211,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128665,6,2018,6.240562703,46.19584661
88,85,RHONE,Lyon,MONTCHAT,FR20009,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128238,1,2018,4.872501618,45.74777291
89,24,RHONE,Pierre-B̩nite,PIERRE BENITE,FR20034,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128902,8,2018,4.829697101,45.69956602
90,7,RHONE,Saint-Romain-en-Gal,ST ROMAIN,FR20042,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128739,6,2018,4.858617253,45.53497998
91,94,DROME,Valence,Valence Urb. Centre,FR36002,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129306,12,2018,4.893674494,44.93318986
92,80,RHONE,Lyon,POINT DU JOUR,FR20018,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128716,6,2018,4.790200546,45.74856906
93,56,RHONE,Saint-Fons,ST FONS CENTRE,FR20031,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128261,1,2018,4.86439959,45.70782432
94,84,RHONE,Villeurbanne,GRANDCLEMENT,FR20019,urban,Trafic,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129257,12,2018,4.886217349,45.75835327
95,66,LOIRE,Firminy,FIRMINY,FR29425,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128310,2,2018,4.281682417,45.38796299
96,80,RHONE,Lyon,POINT DU JOUR,FR20018,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,128622,5,2018,4.790200546,45.74856906
97,36,RHONE,Saint-Priest,ST PRIEST,FR20036,suburban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129114,10,2018,4.913105816,45.69944163
98,33,ISERE,Roussillon,ROUSSILLON,FR27002,urban,Fond,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129286,12,2018,4.805142184,45.36778213
99,43,LOIRE,Veauche,VEAUCHE,FR29427,suburban,Industrielle,Dioxyde de soufre,1,,ug.m-3,mensuel,0,0,129120,10,2018,4.298550264,45.56581455
